nohup: ignoring input
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release (v0.10).  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 0: Tesla K40c (CNMeM is disabled, cuDNN not available)
256 0.02 Model_europarlupper_h256_lr0.02.pcl
Building model...
Number of parameters is 17255176
Training...
PPL: 1.0992; Speed: 9122.15 sps
PPL: 1.0992; Speed: 9125.43 sps
PPL: 1.0992; Speed: 9129.76 sps
PPL: 1.0992; Speed: 9132.59 sps
PPL: 1.0992; Speed: 9137.72 sps
Total number of training labels: 46187008
Total number of validation labels: 5469184
Validation perplexity is 1.1302
PPL: 1.0939; Speed: 2475.72 sps
PPL: 1.0933; Speed: 3929.85 sps
PPL: 1.0929; Speed: 4888.39 sps
PPL: 1.0928; Speed: 5574.14 sps
PPL: 1.0928; Speed: 6090.58 sps
PPL: 1.0928; Speed: 6443.87 sps
PPL: 1.0927; Speed: 6722.85 sps
PPL: 1.0927; Speed: 6988.06 sps
PPL: 1.0929; Speed: 7209.61 sps
PPL: 1.0929; Speed: 7386.01 sps
PPL: 1.0928; Speed: 7542.50 sps
PPL: 1.0928; Speed: 7682.10 sps
PPL: 1.0928; Speed: 7803.63 sps
PPL: 1.0929; Speed: 7904.80 sps
PPL: 1.0929; Speed: 7996.95 sps
PPL: 1.0929; Speed: 8077.91 sps
PPL: 1.0929; Speed: 8154.17 sps
PPL: 1.0930; Speed: 8215.16 sps
PPL: 1.0931; Speed: 8278.63 sps
PPL: 1.0931; Speed: 8331.94 sps
PPL: 1.0932; Speed: 8380.20 sps
PPL: 1.0932; Speed: 8423.60 sps
PPL: 1.0932; Speed: 8463.58 sps
PPL: 1.0933; Speed: 8505.80 sps
PPL: 1.0933; Speed: 8541.42 sps
PPL: 1.0932; Speed: 8575.61 sps
PPL: 1.0932; Speed: 8604.64 sps
PPL: 1.0933; Speed: 8631.17 sps
PPL: 1.0933; Speed: 8657.10 sps
PPL: 1.0933; Speed: 8682.65 sps
